"","codelist_code","term_code","term_value","collected_value","term_preferred_term","term_synonyms"
"1","C66731","C16576","F","F","Female","Female"
"2","C66731","C20197","M","M","Male","Male"
"3","C66781","C29848","YEAR","Year","Year","Year"
"4","ARM","A","Treatment A","A","Treatment A","Treatment A"
"5","ARM","B","Placebo","B","Placebo","Placebo"
"6","C71620","C28254","mL","mL","Milliliter","Milliliter"
"7","C71620","C25613","%","%","Percent","Percent"
"8","C65047","C64849","HBA1C","HbA1c","Hemoglobin A1C","HbA1c"
"9","C67154","C64849","Hemoglobin A1C","HbA1c","Hemoglobin A1C","HbA1c"
"10","C66769","C41338","MILD","MILD","Mild Adverse Event","1;Grade 1"
"11","C66769","C41339","MODERATE","MODERATE","Moderate Adverse Event","2;Grade 2"
"12","C66769","C41340","SEVERE","SEVERE","Severe Adverse Event","3;Grade 3"
"13","C66742","C49487","N","N","No","No"
"14","C66742","C49488","Y","Y","Yes","Yes"
"15","C66741","C25208","WEIGHT","WEIGHT","Weight","Weight"
"16","C67153","C25208","Weight","WEIGHT","Weight","Weight"
"17","C66770","C28252","kg","kg","Kilogram","Kilogram"
